ID	HPO_Terms	Diagnostic_Genes
SCV001443908	HP:0002076; HP:0000822; HP:0001156; HP:0004322; HP:0009778; HP:0009803	PDE3A
SCV000930019	HP:0001290; HP:0003741; HP:0005991	TTN
SCV003845329	HP:0002616; HP:0001263; HP:0001250	FBN1
SCV002577842	HP:0003549	FBN1
SCV000224003	HP:0004219; HP:0000494; HP:0008850; HP:0001537; HP:0000347; HP:0011470; HP:0008551; HP:0000413; HP:0002750; HP:0001525; HP:0011220; HP:0006443; HP:0001607; HP:0000621; HP:0012815; HP:0000463; HP:0002779; HP:0012471	GMNN
SCV004046913	HP:0002493; HP:0000133; HP:0002493; HP:0100543; HP:0000164; HP:0000818; HP:0006808; HP:0001252	POLR1C
SCV000583966	HP:0000717; HP:0001263; HP:0000348; HP:0000974	GRIN2B
SCV005375341	HP:0000750; HP:0001272; HP:0030891; HP:0002353; HP:0002312; HP:0006887; HP:0001251	MFSD8
SCV002054116	HP:0200134	SCN8A
SCV000224005	HP:0000175; HP:0011470; HP:0001385; HP:0000486; HP:0011342; HP:0008850; HP:0000377; HP:0000402; HP:0005280; HP:0006443; HP:0002938; HP:0009125	GMNN
SCV002754501	HP:0011369; HP:0001263; HP:0001252	STXBP1
SCV004175957	HP:0002373; HP:0001256; HP:0002069	SCN1A
SCV001335280	HP:0001510; HP:0011224; HP:0000055; HP:0008070; HP:0008551; HP:0000154; HP:0007392; HP:0000535; HP:0200102; HP:0000233; HP:0000347; HP:0001545	TWIST2
SCV000741255	HP:0001252; HP:0001251; HP:0001272; HP:0001388; HP:0000486; HP:0004322; HP:0002870; HP:0003199; HP:0001270	ABCB7
SCV000244189	HP:0000201; HP:0000175; HP:0001629; HP:0000750; HP:0000405; HP:0011800; HP:0005280; HP:0000463; HP:0001382; HP:0000347	COL11A2
SCV000223999	HP:0011664; HP:0000519; HP:0001290; HP:0001644; HP:0001263; HP:0001250	MIPEP
